Id,Usage,SeqIdx,Level,PredictionString
0,Private,Austin1:00018,easy,0.155 0.2611111 2.0 0.34 0.39444444 2.0 0.29666665 0.6666667 2.0 0.07666667 0.61944443 2.0
1,Private,Austin1:00035,hard,0.18 0.44444445 2.0 0.33333334 0.46944445 2.0 0.31 0.71944445 2.0 0.14166667 0.7027778 2.0 0.34666666 0.6027778 2.0 0.4 0.60555553 2.0 0.395 0.6861111 2.0 0.34333333 0.68333334 2.0
2,Private,MAVLab:00087,easy,0.47166666 0.28055555 2.0 0.70666665 0.21111111 2.0 0.75166667 0.5972222 2.0 0.52 0.6805556 2.0
3,Private,Boston_Images:00015,easy,0.65849674 0.53808594 2.0 0.87009805 0.51171875 2.0 0.90522873 0.7871094 2.0 0.67075163 0.75683594 2.0
4,Public,Boston_Images:00232,easy,0.24101306 0.39160156 2.0 0.44526145 0.40429688 2.0 0.44444445 0.640625 2.0 0.22875817 0.6484375 2.0
5,Private,WashingtonOB:00039,easy,0.75166667 0.49166667 2.0 0.8933333 0.43888888 2.0 0.92333335 0.73055553 2.0 0.77 0.7083333 2.0
6,Public,WashingtonOBNewLight2:00044,medium,0.25333333 0.20833333 2.0 0.64666665 0.09166667 2.0 0.735 0.76944447 2.0 0.305 0.87777776 2.0 0.5 0.50277776 2.0 0.58166665 0.48055556 2.0 0.595 0.61388886 2.0 0.51166666 0.6333333 2.0
7,Private,WashingtonOBNewLight2:00061,easy,0.37 0.45833334 2.0 0.575 0.40833333 2.0 0.6066667 0.78333336 2.0 0.38666666 0.81666666 2.0
8,Private,Boston_Images:00054,easy,0.21732026 0.12402344 2.0 0.5236928 0.21582031 2.0 0.53594774 0.5517578 2.0 0.13643791 0.5175781 2.0
9,Public,Boston_Images:00000,easy,0.28022876 0.24902344 2.0 0.502451 0.35351562 2.0 0.43382353 0.609375 2.0 0.19526143 0.53027344 2.0
10,Private,WashingtonMobile:00000,hard,0.31313926 0.23730469 2.0 0.47285601 0.23535156 2.0 0.46734855 0.43554688 2.0 0.3115657 0.4326172 2.0 0.33280882 0.2939453 2.0 0.40519276 0.29101562 2.0 0.40440598 0.40820312 2.0 0.33202204 0.40527344 2.0 0.5436664 0.31152344 2.0 0.6105429 0.30664062 2.0 0.60896933 0.40039062 2.0 0.5413061 0.3984375 2.0
11,Private,WashingtonMobile:00003,hard,0.29724985 0.2861328 2.0 0.46869513 0.28027344 2.0 0.4757168 0.5527344 2.0 0.30661204 0.57128906 2.0 0.32533646 0.37304688 2.0 0.39789352 0.36523438 2.0 0.4025746 0.5126953 2.0 0.33001757 0.5175781 2.0 0.52018726 0.3828125 2.0 0.5757753 0.37695312 2.0 0.5781159 0.484375 2.0 0.52428323 0.48632812 2.0
12,Private,Austin1:00025,hard,0.048333332 0.28611112 2.0 0.31 0.30277777 2.0 0.30166668 0.69166666 2.0 0.0016666667 0.7138889 2.0 0.225 0.5638889 2.0 0.28833333 0.55833334 2.0 0.28666666 0.68333334 2.0 0.22166666 0.68333334 2.0 0.62333333 0.58055556 2.0 0.6533333 0.57222223 2.0 0.66333336 0.6527778 2.0 0.62833333 0.6527778 2.0
13,Private,Austin1:00021,easy,0.12 0.26666668 2.0 0.33333334 0.35833332 2.0 0.285 0.6805556 2.0 0.05666667 0.6111111 2.0
14,Private,WashingtonMobile:00041,hard,0.16318682 0.41210938 2.0 0.371978 0.36914062 2.0 0.40164834 0.71191406 2.0 0.1912088 0.78125 2.0 0.23626374 0.5283203 2.0 0.30824175 0.5048828 2.0 0.32142857 0.6621094 2.0 0.2489011 0.68066406 2.0 0.42967033 0.5058594 2.0 0.47967032 0.4892578 2.0 0.489011 0.59375 2.0 0.43846154 0.60839844 2.0
15,Private,Boston_Images:00043,medium,0.10620915 0.47460938 2.0 0.26062092 0.50683594 2.0 0.23284313 0.6591797 2.0 0.07761438 0.6464844 2.0
16,Private,Boston_Images:00004,easy,0.5433006 0.3359375 2.0 0.7344771 0.44433594 2.0 0.7344771 0.73535156 2.0 0.49754903 0.6894531 2.0
17,Private,Boston_Images:00017,medium,0.22058824 0.43554688 2.0 0.32189542 0.49414062 2.0 0.30800653 0.6767578 2.0 0.18872549 0.70214844 2.0
18,Private,Boston_Images:00046,medium,0.46160132 0.33398438 2.0 0.49754903 0.31152344 2.0 0.49183005 0.4638672 2.0 0.45833334 0.4580078 2.0
19,Private,OrlandoOB:00010,hard,0.69722223 0.37777779 2.0 0.95555556 0.34444445 2.0 0.98333335 0.6166667 2.0 0.71944445 0.6388889 2.0 0.6861111 0.5638889 2.0 0.7916667 0.56666666 2.0 0.7972222 0.675 2.0 0.68333334 0.6722222 2.0
20,Private,Boston_Images:00051,hard,0.15686275 0.35351562 2.0 0.26960784 0.3642578 2.0 0.251634 0.5214844 2.0 0.13970588 0.5058594 2.0 0.5645425 0.39257812 2.0 0.71486926 0.41503906 2.0 0.6960784 0.58984375 2.0 0.54820263 0.5703125 2.0 0.51960784 0.453125 2.0 0.58986926 0.46289062 2.0 0.5833333 0.5449219 2.0 0.5130719 0.5341797 2.0
21,Public,WashingtonMobile:00017,easy,0.285014 0.24316406 2.0 0.54761904 0.2421875 2.0 0.53571427 0.6064453 2.0 0.28151262 0.59765625 2.0
22,Public,WashingtonMobile:00030,easy,0.5883495 0.42578125 2.0 0.74174756 0.3984375 2.0 0.7514563 0.66308594 2.0 0.597411 0.65722656 2.0
23,Private,WashingtonOB:00034,easy,0.25333333 0.28055555 2.0 0.39 0.325 2.0 0.39166668 0.54444444 2.0 0.255 0.57222223 2.0
24,Private,Boston_Images:00202,easy,0.4676445 0.49023438 2.0 0.6798965 0.4580078 2.0 0.67817086 0.79785156 2.0 0.42364106 0.7470703 2.0
25,Private,Boston_Images:00050,easy,0.3390523 0.34179688 2.0 0.61764705 0.37695312 2.0 0.63480395 0.72265625 2.0 0.2998366 0.72265625 2.0
26,Public,Boston_Images:00009,hard,0.22957516 0.32910156 2.0 0.30392158 0.28808594 2.0 0.33496732 0.42871094 2.0 0.26143792 0.45117188 2.0 0.60375816 0.24804688 2.0 0.6854575 0.21679688 2.0 0.7001634 0.31835938 2.0 0.61601305 0.3388672 2.0 0.5531046 0.15820312 2.0 0.74019605 0.076171875 2.0 0.7663399 0.31445312 2.0 0.5857843 0.35839844 2.0
